,text
1328,[]
1329,"['from the', 'the cessation', 'cessation of', 'of that', 'that tannirodha', 'tannirodha ', ' owing', 'owing to', 'to the', 'the dissolution', 'dissolution of', 'of that', 'that tassa', 'tassa nirujjhanato', 'nirujjhanato ', ' expressions', 'expressions of', 'of reason', 'reason by', 'by way', 'way of', 'of proximitycondition', 'proximitycondition anantara', 'anantara paccaya', 'paccaya vasena', 'vasena hetu', 'hetu vacanam']"
1330,[]
1331,"['even in', 'in the', 'the first', 'first impulsion', 'impulsion and', 'and so', 'so forth', 'forth ending', 'ending with', 'with the', 'the seventh', 'seventh impulsion', 'impulsion this', 'this passage', 'passage has', 'has been', 'been stated', 'stated concerning', 'concerning the', 'the absence', 'absence in', 'in a', 'a definite', 'definite way', 'way of', 'of lust', 'lust hate', 'hate and', 'and ignorance', 'ignorance with', 'with the', 'the thought', 'thought this', 'this is', 'is a', 'a woman', 'woman or', 'or this', 'this is', 'is a', 'a man', 'man in', 'in the', 'the course', 'course of', 'of cognition', 'cognition at', 'at the', 'the five', 'five doors', 'doors of', 'of sense', 'sense in', 'in this', 'this matter', 'matter indeed', 'indeed owing', 'owing to', 'to the', 'the existence', 'existence of', 'of mental', 'mental states', 'states by', 'by way', 'way of', 'of adverting', 'adverting and', 'and the', 'the rest', 'rest up', 'up to', 'to determining', 'determining without', 'without radical', 'radical reflection', 'reflection on', 'on account', 'account of', 'of reflecting', 'reflecting unwisely', 'unwisely prior', 'prior to', 'to advertingdetermining', 'advertingdetermining impulsion', 'impulsion that', 'that is', 'is with', 'with a', 'a bare', 'bare semblance', 'semblance of', 'of greed', 'greed arises', 'arises in', 'in regard', 'regard to', 'to a', 'a liked', 'liked object', 'object such', 'such as', 'as a', 'a female', 'female form', 'form and', 'and impulsion', 'impulsion that', 'that is', 'is with', 'with a', 'a bare', 'bare semblance', 'semblance of', 'of hate', 'hate arises', 'arises in', 'in regard', 'regard to', 'to an', 'an object', 'object not', 'not liked', 'liked there', 'there is', 'is however', 'however no', 'no occurrence', 'occurrence of', 'of lust', 'lust hate', 'hate and', 'and ignorance', 'ignorance in', 'in an', 'an extreme', 'extreme way', 'way with', 'with strong', 'strong moral', 'moral consequences', 'consequences in', 'in the', 'the course', 'course of', 'of sensedoor', 'sensedoor cognition', 'cognition only', 'only in', 'in the', 'the course', 'course of', 'of minddoor', 'minddoor cognition', 'cognition lust', 'lust hate', 'hate and', 'and ignorance', 'ignorance occur', 'occur absolutely', 'absolutely that', 'that is', 'is with', 'with strong', 'strong moral', 'moral consequences', 'consequences but', 'but impulsion', 'impulsion of', 'of the', 'the course', 'course of', 'of sensedoor', 'sensedoor cognition', 'cognition is', 'is the', 'the root', 'root of', 'of lust', 'lust hate', 'hate and', 'and ignorance', 'ignorance of', 'of minddoor', 'minddoor course', 'course of', 'of cognition', 'cognition or', 'or even', 'even all', 'all beginning', 'beginning with', 'with the', 'the mental', 'mental state', 'state of', 'of the', 'the lifecontinum', 'lifecontinum can', 'can be', 'be taken', 'taken as', 'as the', 'the root', 'root of', 'of minddoor', 'minddoor impulsion', 'impulsion thus', 'thus accurate', 'accurate knowledge', 'knowledge of', 'of the', 'the root', 'root has', 'has been', 'been stated', 'stated by', 'by way', 'way of', 'of the', 'the rootreason', 'rootreason of', 'of minddoor', 'minddoor impulsion', 'impulsion the', 'the casual', 'casual state', 'state and', 'and the', 'the temporary', 'temporary state', 'state are', 'are indeed', 'indeed stated', 'stated on', 'on account', 'account of', 'of the', 'the newness', 'newness of', 'of just', 'just impulsion', 'impulsion of', 'of the', 'the course', 'course of', 'of cognition', 'cognition at', 'at the', 'the five', 'five doors', 'doors of', 'of sense', 'sense and', 'and on', 'on account', 'account of', 'of the', 'the brevity', 'brevity of', 'of the', 'the same', 'same impulsion', 'impulsion pathama', 'pathama javanepi', 'javanepi pe', 'pe sattama', 'sattama javanepiti', 'javanepiti idam', 'idam pañca', 'pañca dvarika', 'dvarika vithiyam', 'vithiyam ayam', 'ayam itthi', 'itthi ayam', 'ayam purisoti', 'purisoti rajjana', 'rajjana dussana', 'dussana muyhananam', 'muyhananam abhavam', 'abhavam sandhaya', 'sandhaya vuttam', 'vuttam tattha', 'tattha hi', 'hi avajjana', 'avajjana vatthabbananam', 'vatthabbananam puretaram', 'puretaram pavatta', 'pavatta yoniso', 'yoniso manasikara', 'manasikara vasena', 'vasena ayoniso', 'ayoniso avajjana', 'avajjana votthabbanakarena', 'votthabbanakarena pavattanto', 'pavattanto itthe', 'itthe itthi', 'itthi rupadimhi', 'rupadimhi lobha', 'lobha sahagata', 'sahagata mattam', 'mattam javanam', 'javanam uppajati', 'uppajati anitthe', 'anitthe ca', 'ca dosa', 'dosa sahagata', 'sahagata mattam', 'mattam na', 'na pana', 'pana ekanta', 'ekanta rajjana', 'rajjana dussanadi', 'dussanadi hoti', 'hoti tassa', 'tassa pana', 'pana mano', 'mano dvarikassa', 'dvarikassa rajjana', 'rajjana dussanadino', 'dussanadino pañca', 'pañca dvarika', 'dvarika javanam', 'javanam mulam', 'mulam yatha', 'yatha vuttam', 'vuttam va', 'va sabbampi', 'sabbampi bhavangadi', 'bhavangadi evam', 'evam mano', 'mano dvarikassa', 'dvarikassa javanassa', 'javanassa mula', 'mula karana', 'karana vasena', 'vasena mulapariñña', 'mulapariñña vutta', 'vutta agantuka', 'agantuka tavakalikata', 'tavakalikata pana', 'pana pañca', 'pañca dvarika', 'dvarika javanasseva', 'javanasseva apubba', 'apubba bhava', 'bhava vasena', 'vasena ittarata', 'ittarata vasena', 'vasena ca']"
1332,[]
1333,"['after breaking', 'breaking up', 'up gradually', 'gradually are', 'are fallen', 'fallen one', 'one atop', 'atop of', 'of another', 'another on', 'on account', 'account of', 'of the', 'the turning', 'turning round', 'round ', ' changing', 'changing moving', 'moving ', ' early', 'early and', 'and later', 'later or', 'or before', 'before and', 'and after', 'after or', 'or below', 'below and', 'and above', 'above in', 'in the', 'the form', 'form of', 'of the', 'the arising', 'arising of', 'of the', 'the mental', 'mental state', 'state of', 'of the', 'the lifecontinum', 'lifecontinum hettha', 'hettha ca', 'ca upari', 'upari ca', 'ca parivattamana', 'parivattamana vasena', 'vasena aparaparam', 'aparaparam bhavanguppatti', 'bhavanguppatti vasena']"
1334,[]
1335,"['likewise indeed', 'indeed is', 'is indicated', 'indicated the', 'the falling', 'falling after', 'after breaking', 'breaking down', 'down of', 'of the', 'the other', 'other mental', 'mental states', 'states on', 'on account', 'account of', 'of the', 'the arising', 'arising of', 'of the', 'the mental', 'mental state', 'state of', 'of the', 'the lifecontinum', 'lifecontinum tatha', 'tatha bhavanguppada', 'bhavanguppada vasena', 'vasena hi', 'hi tesam', 'tesam bhijjitva', 'bhijjitva patanam']"
1336,[]
1337,"['by this', 'this indeed', 'indeed the', 'the commentator', 'commentator shows', 'shows by', 'by way', 'way of', 'of the', 'the gradual', 'gradual arising', 'arising of', 'of the', 'the earlier', 'earlier and', 'and the', 'the later', 'later mental', 'mental state', 'state of', 'of the', 'the lifecontinum', 'lifecontinum the', 'the arising', 'arising of', 'of the', 'the impulsion', 'impulsion of', 'of the', 'the minddoor', 'minddoor course', 'course of', 'of cognition', 'cognition which', 'which is', 'is different', 'different to', 'to the', 'the impulsion', 'impulsion of', 'of the', 'the course', 'course of', 'of cognition', 'cognition at', 'at the', 'the five', 'five doors', 'doors of', 'of sense', 'sense imina', 'imina pana', 'pana hetthimassa', 'hetthimassa uparimassa', 'uparimassa ca', 'ca bhavangassa', 'bhavangassa aparaparuppatti', 'aparaparuppatti vasena', 'vasena pañca', 'pañca dvarika', 'dvarika javanato', 'javanato visadisassa', 'visadisassa mano', 'mano dvarika', 'dvarika javanassa', 'javanassa uppadam', 'uppadam dasseti']"
1338,[]
1339,"['because of', 'of the', 'the proceeding', 'proceeding of', 'of lust', 'lust and', 'and the', 'the like', 'like by', 'by just', 'just the', 'the way', 'way of', 'of minddoor', 'minddoor impulsion', 'impulsion the', 'the commentator', 'commentator said', 'said even', 'even thus', 'thus there', 'there takes', 'takes place', 'place looking', 'looking straight', 'straight on', 'on or', 'or looking', 'looking away', 'away from', 'from the', 'the front', 'front by', 'by way', 'way of', 'of lust', 'lust hatred', 'hatred and', 'and ignorance']"
1340,[]
1341,"['on an', 'an object', 'object falling', 'falling within', 'within reach', 'reach of', 'of consciousness', 'consciousness at', 'at the', 'the eyedoor', 'eyedoor impulsion', 'impulsion arises', 'arises right', 'right at', 'at the', 'the very', 'very end', 'end when', 'when from', 'from the', 'the movement', 'movement of', 'of the', 'the lifecontinum', 'lifecontinum onwards', 'onwards the', 'the states', 'states of', 'of adverting', 'adverting seeing', 'seeing receiving', 'receiving considering', 'considering and', 'and determining', 'determining having', 'having arisen', 'arisen have', 'have ceased']"
1342,[]
1343,"['that impulsion', 'impulsion is', 'is like', 'like a', 'a visitor', 'visitor at', 'at the', 'the eyedoor', 'eyedoor which', 'which is', 'is comparable', 'comparable to', 'to a', 'a house', 'house belonging', 'belonging to', 'to the', 'the states', 'states of', 'of adverting', 'adverting and', 'and the', 'the rest', 'rest mentioned', 'mentioned above', 'above born', 'born there', 'there before', 'before the', 'the arising', 'arising of', 'of impulsion']"
1344,[]
1345,"['as it', 'it is', 'is not', 'not fit', 'fit for', 'for a', 'a visitor', 'visitor who', 'who has', 'has arrived', 'arrived at', 'at a', 'a strange', 'strange house', 'house for', 'for the', 'the purpose', 'purpose of', 'of getting', 'getting some', 'some assistance', 'assistance from', 'from the', 'the owners', 'owners of', 'of the', 'the house', 'house to', 'to do', 'do any', 'any kind', 'kind of', 'of ordering', 'ordering when', 'when the', 'the owners', 'owners themselves', 'themselves are', 'are silent', 'silent so', 'so it', 'it is', 'is unfit', 'unfit for', 'for impulsion', 'impulsion to', 'to be', 'be involved', 'involved in', 'in lust', 'lust hate', 'hate and', 'and ignorance', 'ignorance at', 'at the', 'the eyedoor', 'eyedoor house', 'house of', 'of adverting', 'adverting and', 'and the', 'the other', 'other states', 'states of', 'of mind', 'mind when', 'when those', 'those states', 'states of', 'of mind', 'mind are', 'are themselves', 'themselves not', 'not lusting', 'lusting hating', 'hating or', 'or bound', 'bound up', 'up with', 'with ignorance', 'ignorance clear', 'clear comprehension', 'comprehension of', 'of nondelusion', 'nondelusion should', 'should thus', 'thus be', 'be known', 'known by', 'by way', 'way of', 'of the', 'the casual', 'casual state']"
1346,[]
1347,"['at the', 'the eyedoor', 'eyedoor the', 'the mental', 'mental states', 'states that', 'that close', 'close with', 'with the', 'the state', 'state of', 'of determining', 'determining arise', 'arise and', 'and break', 'break up', 'up together', 'together with', 'with associated', 'associated phenomena', 'phenomena at', 'at just', 'just those', 'those places', 'places on', 'on which', 'which they', 'they arise', 'arise they', 'they do', 'do not', 'not see', 'see each', 'each other', 'other therefore', 'therefore the', 'the mental', 'mental states', 'states that', 'that close', 'close with', 'with determining', 'determining are', 'are brief', 'brief and', 'and temporary', 'temporary there', 'there as', 'as in', 'in a', 'a house', 'house of', 'of the', 'the dead', 'dead where', 'where here', 'here is', 'is one', 'one more', 'more to', 'to die', 'die just', 'just at', 'at that', 'that very', 'very instant', 'instant it', 'it is', 'is not', 'not proper', 'proper for', 'for that', 'that one', 'one who', 'who is', 'is to', 'to die', 'die to', 'to be', 'be given', 'given to', 'to delight', 'delight in', 'in dancing', 'dancing and', 'and singing', 'singing and', 'and the', 'the like', 'like even', 'even so', 'so at', 'at a', 'a sensedoor', 'sensedoor when', 'when the', 'the states', 'states of', 'of adverting', 'adverting and', 'and the', 'the rest', 'rest with', 'with associated', 'associated phenomena', 'phenomena have', 'have died', 'died just', 'just where', 'where they', 'they arose', 'arose it', 'it is', 'is not', 'not fit', 'fit for', 'for the', 'the remaining', 'remaining impulsion', 'impulsion that', 'that is', 'is to', 'to die', 'die shortly', 'shortly to', 'to take', 'take delight', 'delight in', 'in anything', 'anything by', 'by way', 'way of', 'of lust', 'lust and', 'and the', 'the like', 'like clear', 'clear comprehension', 'comprehension of', 'of nondelusion', 'nondelusion should', 'should be', 'be understood', 'understood thus', 'thus by', 'by way', 'way of', 'of the', 'the temporary', 'temporary state']"
1348,[]
1349,"['like a', 'a visitor', 'visitor ', ' like', 'like someone', 'someone come', 'come specially', 'specially a', 'a stranger', 'stranger agantuka', 'agantuka puriso', 'puriso viya']"
1350,[]
1351,"['visitors are', 'are of', 'of two', 'two kinds', 'kinds by', 'by way', 'way of', 'of a', 'a guest', 'guest that', 'that is', 'is a', 'a person', 'person who', 'who comes', 'comes and', 'and goes', 'goes a', 'a person', 'person who', 'who does', 'does not', 'not stay', 'stay permanently', 'permanently in', 'in a', 'a place', 'place and', 'and by', 'by way', 'way of', 'of someone', 'someone who', 'who comes', 'comes specially', 'specially to', 'to a', 'a place', 'place a', 'a stranger', 'stranger in', 'in this', 'this connection', 'connection one', 'one who', 'who is', 'is an', 'an acquaintance', 'acquaintance or', 'or one', 'one who', 'who is', 'is known', 'known is', 'is a', 'a guest', 'guest one', 'one who', 'who is', 'is not', 'not an', 'an acquaintance', 'acquaintance and', 'and is', 'is unknown', 'unknown is', 'is a', 'a stranger', 'stranger according', 'according to', 'to the', 'the context', 'context here', 'here a', 'a stranger', 'stranger is', 'is meant']"
1352,[]
1353,"['since to', 'to these', 'these mental', 'mental states', 'states there', 'there is', 'is just', 'just that', 'that duration', 'duration limited', 'limited to', 'to the', 'the process', 'process of', 'of riseandfall', 'riseandfall of', 'of mental', 'mental phenomena', 'phenomena these', 'these states', 'states of', 'of mind', 'mind are', 'are called', 'called temporary']"
1354,[]
1355,"['and further', 'further this', 'this clear', 'clear comprehension', 'comprehension of', 'of nondelusion', 'nondelusion should', 'should be', 'be understood', 'understood by', 'by way', 'way of', 'of the', 'the reflection', 'reflection on', 'on the', 'the aggregates', 'aggregates bases', 'bases processes', 'processes and', 'and conditions']"
1356,[]
1357,"['to be', 'be sure', 'sure here', 'here eye', 'eye and', 'and visible', 'visible object', 'object are', 'are materialityaggregate', 'materialityaggregate seeing', 'seeing is', 'is consciousnessaggregate', 'consciousnessaggregate feeling', 'feeling that', 'that is', 'is associated', 'associated with', 'with seeing', 'seeing is', 'is feelingaggregate', 'feelingaggregate perceiving', 'perceiving is', 'is perceptionaggregate', 'perceptionaggregate and', 'and those', 'those beginning', 'beginning with', 'with senseimpression', 'senseimpression are', 'are formationaggregate', 'formationaggregate thus', 'thus lookingstraightonandlookingawayfromthefront', 'lookingstraightonandlookingawayfromthefront is', 'is seen', 'seen in', 'in the', 'the combination', 'combination of', 'of these', 'these five', 'five aggregates', 'aggregates there', 'there who', 'who singly', 'singly looks', 'looks straight', 'straight on', 'on who', 'who looks', 'looks away', 'away from', 'from the', 'the front']"
1358,[]
1359,"['seeing ', ' eyeconsciousness', 'eyeconsciousness cakkhuviññanam', 'cakkhuviññanam by', 'by reason', 'reason of', 'of knowing', 'knowing the', 'the acts', 'acts of', 'of looking', 'looking straight', 'straight on', 'on and', 'and of', 'of looking', 'looking away', 'away from', 'from the', 'the front', 'front in', 'in that', 'that way', 'way only', 'only as', 'as eyeconsciousness', 'eyeconsciousness adverting', 'adverting and', 'and the', 'the rest', 'rest are', 'are left', 'left out', 'out as', 'as bare', 'bare seeing', 'seeing only', 'only is', 'is in', 'in eyeconsciousness', 'eyeconsciousness tassa', 'tassa vaseneva', 'vaseneva alokana', 'alokana vilokana', 'vilokana paññayananto', 'paññayananto avajjanadinam', 'avajjanadinam agahanam']"
1360,[]
1361,"['separate from', 'from that', 'that fivefold', 'fivefold aggregate', 'aggregate who', 'who singly', 'singly looks', 'looks straight', 'straight on', 'on who', 'who singly', 'singly looks', 'looks away', 'away from', 'from the', 'the front', 'front none', 'none singly', 'singly only', 'only by', 'by oneself', 'oneself indeed', 'indeed looks', 'looks straight', 'straight on', 'on and', 'and none', 'none singly', 'singly only', 'only by', 'by oneself', 'oneself looks', 'looks away', 'away from', 'from the', 'the front', 'front ', ' this', 'this reply', 'reply is', 'is intended', 'intended to', 'to be', 'be given', 'given to', 'to the', 'the questions']"
1362,[]
1363,"['in the', 'the same', 'same way', 'way eye', 'eye is', 'is eyebase', 'eyebase visible', 'visible object', 'object is', 'is materialitybase', 'materialitybase seeing', 'seeing is', 'is mindbase', 'mindbase feeling', 'feeling and', 'and so', 'so forth', 'forth the', 'the associated', 'associated things', 'things are', 'are thingbase', 'thingbase thus', 'thus lookingstraightonandlookingawayfromthefront', 'lookingstraightonandlookingawayfromthefront is', 'is seen', 'seen in', 'in the', 'the combination', 'combination of', 'of these', 'these four', 'four bases', 'bases there', 'there who', 'who singly', 'singly looks', 'looks straight', 'straight on', 'on who', 'who looks', 'looks away', 'away from', 'from the', 'the front', 'front likewise', 'likewise eye', 'eye is', 'is eyeprocess', 'eyeprocess visible', 'visible object', 'object is', 'is materialityprocess', 'materialityprocess seeing', 'seeing is', 'is eyeconsciousnessprocess', 'eyeconsciousnessprocess and', 'and the', 'the things', 'things beginning', 'beginning with', 'with feeling', 'feeling associated', 'associated with', 'with eyeconsciousness', 'eyeconsciousness are', 'are mindprocess', 'mindprocess thus', 'thus lookingstraightonandlookingawayfromthefront', 'lookingstraightonandlookingawayfromthefront is', 'is seen', 'seen in', 'in the', 'the combination', 'combination of', 'of these', 'these four', 'four processes', 'processes there', 'there who', 'who singly', 'singly looks', 'looks straight', 'straight on', 'on who', 'who looks', 'looks away', 'away from', 'from the', 'the front', 'front exactly', 'exactly in', 'in the', 'the manner', 'manner already', 'already stated', 'stated eye', 'eye is', 'is supportcondition', 'supportcondition visible', 'visible object', 'object is', 'is objectcondition', 'objectcondition adverting', 'adverting is', 'is condition', 'condition of', 'of proximity', 'proximity contiguity', 'contiguity decisivesupport', 'decisivesupport absence', 'absence and', 'and disappearance', 'disappearance light', 'light is', 'is condition', 'condition of', 'of decisivesupport', 'decisivesupport and', 'and those', 'those beginning', 'beginning with', 'with feeling', 'feeling are', 'are conascencecondition', 'conascencecondition thus', 'thus looking', 'looking straightonandlookingawayfromthefront', 'straightonandlookingawayfromthefront is', 'is seen', 'seen in', 'in the', 'the combination', 'combination of', 'of these', 'these conditions', 'conditions there', 'there who', 'who singly', 'singly looks', 'looks straight', 'straight on', 'on who', 'who looks', 'looks away', 'away from', 'from the', 'the front']"
1364,[]
1365,"['with the', 'the words', 'words light', 'light is', 'is the', 'the condition', 'condition of', 'of decisivesupport', 'decisivesupport the', 'the conditionality', 'conditionality of', 'of seeing', 'seeing is', 'is stated', 'stated through', 'through the', 'the suttanta', 'suttanta method', 'method through', 'through the', 'the way', 'way of', 'of illustrated', 'illustrated discourse', 'discourse discursively', 'discursively indirectly']"
1366,[]
1367,"['conascencecondition too', 'too belongs', 'belongs to', 'to just', 'just seeing', 'seeing this', 'this is', 'is given', 'given as', 'as only', 'only an', 'an example', 'example owing', 'owing to', 'to the', 'the obtaining', 'obtaining also', 'also of', 'of conditions', 'conditions of', 'of mutuality', 'mutuality association', 'association presence', 'presence nondisappearance', 'nondisappearance and', 'and so', 'so forth']"
1368,[]
1369,"['here in', 'in this', 'this way', 'way by', 'by reflection', 'reflection on', 'on the', 'the aggregates', 'aggregates bases', 'bases processes', 'processes and', 'and conditions', 'conditions too', 'too clear', 'clear comprehension', 'comprehension of', 'of nondelusion', 'nondelusion should', 'should be', 'be understood']"
1370,"[' clear', 'clear comprehension', 'comprehension in', 'in the', 'the bending', 'bending and', 'and the', 'the stretching', 'stretching of', 'of limbs']"
1371,[]
1372,"['sammiñjite pasarite', 'pasarite ', 'in bending', 'bending and', 'and in', 'in stretching', 'stretching in', 'in the', 'the bending', 'bending and', 'and the', 'the stretching', 'stretching of', 'of the', 'the joints']"
1373,[]
1374,"['the consideration', 'consideration of', 'of purpose', 'purpose and', 'and lack', 'lack of', 'of purpose', 'purpose in', 'in regard', 'regard to', 'to any', 'any contemplated', 'contemplated act', 'act of', 'of bending', 'bending or', 'or stretching', 'stretching and', 'and the', 'the taking', 'taking up', 'up of', 'of that', 'that which', 'which is', 'is purposeful', 'purposeful after', 'after not', 'not bending', 'bending and', 'and stretching', 'stretching according', 'according to', 'to merely', 'merely the', 'the minds', 'minds inclination', 'inclination is', 'is clear', 'clear comprehension', 'comprehension of', 'of purpose']"
1375,[]
1376,"['in this', 'this matter', 'matter a', 'a person', 'person who', 'who experiences', 'experiences pain', 'pain every', 'every moment', 'moment due', 'due to', 'to standing', 'standing long', 'long with', 'with bent', 'bent or', 'or stretched', 'stretched hands', 'hands or', 'or feet', 'feet does', 'does not', 'not get', 'get concentration', 'concentration of', 'of mind', 'mind mental', 'mental onepointedness', 'onepointedness his', 'his subject', 'subject of', 'of meditation', 'meditation entirely', 'entirely falls', 'falls away', 'away and', 'and he', 'he does', 'does not', 'not obtain', 'obtain distinction', 'distinction absorption', 'absorption and', 'and so', 'so forth', 'forth but', 'but he', 'he who', 'who bends', 'bends or', 'or stretches', 'stretches his', 'his hands', 'hands and', 'and feet', 'feet for', 'for the', 'the proper', 'proper length', 'length of', 'of time', 'time does', 'does not', 'not experience', 'experience pain', 'pain gets', 'gets concentration', 'concentration of', 'of mind', 'mind develops', 'develops his', 'his subject', 'subject of', 'of meditation', 'meditation and', 'and attains', 'attains distinction', 'distinction thus', 'thus the', 'the comprehension', 'comprehension of', 'of purpose', 'purpose and', 'and nonpurpose', 'nonpurpose should', 'should be', 'be known']"
1377,[]
1378,"['clear comprehension', 'comprehension of', 'of suitability', 'suitability is', 'is the', 'the comprehension', 'comprehension of', 'of the', 'the suitable', 'suitable after', 'after considering', 'considering the', 'the suitable', 'suitable and', 'and the', 'the nonsuitable', 'nonsuitable even', 'even in', 'in a', 'a matter', 'matter that', 'that is', 'is purposeful', 'purposeful in', 'in this', 'this connection', 'connection the', 'the following', 'following is', 'is the', 'the method', 'method of', 'of explanation', 'explanation it', 'it is', 'is said', 'said that', 'that on', 'on the', 'the terrace', 'terrace of', 'of the', 'the great', 'great relic', 'relic shrine', 'shrine while', 'while young', 'young bhikkhus', 'bhikkhus were', 'were rehearsing', 'rehearsing the', 'the doctrine', 'doctrine young', 'young bhikkhunis', 'bhikkhunis standing', 'standing at', 'at the', 'the back', 'back of', 'of the', 'the bhikkhus', 'bhikkhus were', 'were listening', 'listening to', 'to the', 'the rehearsal', 'rehearsal then', 'then a', 'a young', 'young bhikkhu', 'bhikkhu came', 'came into', 'into bodily', 'bodily contact', 'contact with', 'with a', 'a bhikkhuni', 'bhikkhuni while', 'while stretching', 'stretching out', 'out his', 'his hand', 'hand and', 'and by', 'by just', 'just that', 'that fact', 'fact became', 'became a', 'a layman', 'layman another', 'another bhikkhu', 'bhikkhu in', 'in stretching', 'stretching his', 'his foot', 'foot stretched', 'stretched it', 'it into', 'into fire', 'fire and', 'and his', 'his foot', 'foot got', 'got burnt', 'burnt to', 'to the', 'the bone', 'bone another', 'another stretched', 'stretched his', 'his foot', 'foot on', 'on an', 'an anthill', 'anthill and', 'and was', 'was bitten', 'bitten in', 'in the', 'the foot', 'foot by', 'by a', 'a poisonous', 'poisonous snake', 'snake another', 'another bhikkhu', 'bhikkhu stretched', 'stretched out', 'out his', 'his hand', 'hand till', 'till it', 'it rested', 'rested on', 'on the', 'the pole', 'pole of', 'of a', 'a robetent', 'robetent a', 'a ribbonsnake', 'ribbonsnake on', 'on the', 'the pole', 'pole bit', 'bit the', 'the hand', 'hand of', 'of that', 'that bhikkhu']"
1379,[]
1380,"['therefore the', 'the stretching', 'stretching of', 'of ones', 'ones limbs', 'limbs should', 'should be', 'be done', 'done in', 'in a', 'a suitable', 'suitable and', 'and not', 'not an', 'an unsuitable', 'unsuitable place', 'place this', 'this should', 'should be', 'be understood', 'understood here', 'here as', 'as clear', 'clear comprehension', 'comprehension of', 'of suitability']"
1381,[]
1382,"['just by', 'by the', 'the showing', 'showing of', 'of the', 'the tribulation', 'tribulation of', 'of noncomprehension', 'noncomprehension of', 'of that', 'that the', 'the felicity', 'felicity of', 'of comprehension', 'comprehension is', 'is made', 'made clear', 'clear thus', 'thus here', 'here the', 'the illustration', 'illustration of', 'of these', 'these should', 'should be', 'be understood']"
1383,[]
1384,"['in the', 'the terrace', 'terrace of', 'of the', 'the great', 'great relic', 'relic shrine', 'shrine ', 'in the', 'the terrace', 'terrace of', 'of the', 'the great', 'great relic', 'relic shrine', 'shrine known', 'known by', 'by the', 'the name', 'name of', 'of hemamali', 'hemamali at', 'at anuradhapura', 'anuradhapura in', 'in lanka', 'lanka built', 'built by', 'by the', 'the king', 'king dutthagamini']"
1385,[]
1386,"['by just', 'just that', 'that fact', 'fact became', 'became a', 'a layman', 'layman ', 'by reason', 'reason of', 'of coming', 'coming into', 'into bodily', 'bodily contact', 'contact with', 'with a', 'a female', 'female that', 'that bhikkhu', 'bhikkhu having', 'having become', 'become filled', 'filled with', 'with longing', 'longing for', 'for sensedelights', 'sensedelights turned', 'turned to', 'to the', 'the lower', 'lower life', 'life of', 'of the', 'the world']"
1387,[]
1388,"['on the', 'the pole', 'pole of', 'of a', 'a robetent', 'robetent ', 'on a', 'a pole', 'pole fixed', 'fixed to', 'to the', 'the roof', 'roof of', 'of a', 'a tent', 'tent covered', 'covered with', 'with robes']"
1389,[]
1390,"['it is', 'is said', 'said by', 'by the', 'the commentator', 'commentator that', 'that bhikkhus', 'bhikkhus having', 'having made', 'made a', 'a robetent', 'robetent were', 'were in', 'in that', 'that tent', 'tent rehearsing', 'rehearsing the', 'the doctrine', 'doctrine even', 'even on', 'on the', 'the terrace', 'terrace of', 'of the', 'the great', 'great relic', 'relic shrine']"
1391,[]
1392,"['it is', 'is said', 'said by', 'by the', 'the commentators', 'commentators the', 'the elders', 'elders ananda', 'ananda and', 'and dhammapala', 'dhammapala that', 'that the', 'the ribbonsnake', 'ribbonsnake is', 'is a', 'a snakespecies', 'snakespecies found', 'found in', 'in lion', 'lion island']"
1393,[]
1394,"['clear comprehension', 'comprehension of', 'of resort', 'resort should', 'should indeed', 'indeed be', 'be illustrated', 'illustrated by', 'by the', 'the story', 'story of', 'of the', 'the senior', 'senior bhikkhu', 'bhikkhu called', 'called great', 'great elder']"
1395,[]
